user,repID,date_joined,last_login,cohort,MA.GoodatMath,MA.ImportantDoWell,MA.NaturallyBetter,MA.EffortImportant,MA.UnderstandQuickly,MA.ThinkCarefully,MA.PlugInNum,MA.PatternsOverCalc,MA.ExcitingIntimidating,SA.ChairParts,SA.SpatialRel,SA.Diagrams,howmanymath,mathposthigh,ratereading,gender,FathEd,MothEd,class,Ethnic,engfirst,A.Figure,A.Rotate,A.Letters,A.Vocab,PM.Arith,PM.XY,PM.Theta,PM.TTSinCos,PM.TTSides,PM.CTSinCos,PM.TrigRs,SM.XY,SM.Theta,SM.TTSinCos,SM.CTSinCos
510,71860,10/18/2016 0:07,10/18/2016 0:23,Fall16,5,7,7,5,4,7,2,5,1,6,4,7,4,2,5,2,2,1,2,4,0,60,70,-1.507765951,0.499256782,75,10,25,0,100,0,8.3,0,100,0,0
512,48688,10/18/2016 2:00,10/24/2016 6:57,Fall16,6,7,7,7,1,6,1,6,7,7,6,7,4,5,4,2,2,2,4,2,1,95,95,1.135360045,1.221264442,96.9,90,33.3,100,100,77.8,66.7,90,100,100,100
513,62590,10/18/2016 2:16,10/20/2016 3:07,Fall16,1,5,6,7,7,7,6,4,2,5,5,5,1,4,4,1,4,4,1,2,1,75,60,-0.305297293,0.499256782,75,0,33.3,0,0,0,8.3,0,66.7,0,0
514,67066,10/18/2016 2:30,10/18/2016 2:30,Fall16,3,3,5,7,5,7,6,5,2,4,5,7,4,4,4,2,4,4,4,1,1,40,65,-0.547327726,-0.578366591,93.8,60,33.3,0,33.3,0,8.3,50,91.7,0,0
516,71389,10/18/2016 17:12,10/18/2016 17:12,Fall16,1,5,7,2,4,6,2,4,2,5,4,6,3,1,3,2,3,5,4,1,1,65,70,0.897171365,0.321448925,81.2,80,25,0,100,0,33.3,90,100,0,66.7
517,71137,10/18/2016 18:49,10/18/2016 18:49,Fall16,3,6,7,5,3,6,4,4,4,7,4,7,3,3,5,2,5,2,4,1,1,50,80,-0.305297293,-0.217362761,71.9,30,25,0,33.3,0,33.3,70,100,0,0
521,63757,10/19/2016 19:44,10/19/2016 19:44,Fall16,5,4,6,4,5,5,4,4,2,5,4,4,3,2,5,2,6,3,5,4,1,60,85,0.897171365,0.682452755,93.8,80,91.7,100,100,0,8.3,100,91.7,100,0
522,72046,10/19/2016 20:39,11/6/2016 5:33,Fall16,4,6,6,6,6,6,4,6,3,5,5,4,4,5,4,2,7,4,2,7,0,65,55,-0.06326686,-0.217362761,46.9,10,33.3,0,0,0,33.3,10,100,0,0
523,71320,10/19/2016 21:38,10/19/2016 21:38,Fall16,6,7,7,4,7,7,3,6,3,5,6,6,4,1,5,2,3,3,4,1,1,60,80,-1.745954631,-2.194801652,6.2,0,41.7,0,0,0,33.3,0,50,0,0
524,71140,10/19/2016 22:04,10/24/2016 18:44,Fall16,5,6,6,3,6,7,6,4,2,3,4,4,3,2,4,2,6,5,5,1,1,65,80,-0.305297293,0.860260612,87.5,70,25,0,100,11.1,16.7,80,100,0,0
