id_code,user,chairparts,spatialrel,diagrams,math1,math2,math3,math4,math5,math6,math7,math8,math9,math10,math11,math14,math15,math16,howmanymath,mathposthigh,ratereading,FathEd,MothEd,Income,class,gender,comfyspkreadeng,Ethnic
81394,#N/A,2,2,3,1,5,5,6,6,6,6,4,1,1,math 10,"1, 3, 6","precal in senior year of high school, algebra 1 in 2014","math 1 in 2015, math 2 in 2016, math 3 in 2017",4,1,5,1,1,2,2,2,1,4
81397,2902,6,3,5,4,6,3,7,5,7,2,4,4,2,Multivariable Caculus,"1, 2, 4","Calculus, Geometry in 2017, Algebra 2018","Calculus, Geometry in 2017, Algebra 2018",5,4,3,6,2,8,4,2,1,4
81400,2739,5,3,5,3,4,6,6,6,6,6,4,4,2,Pre-Calculus,"1, 2, 3",Pre-Calculus 1999,N/A,4,1,3,6,4,4,1,2,1,4
81403,2923,6,6,6,5,7,6,5,4,7,4,5,5,1,interned algebra,1,[Decline to Answer],[Decline to Answer],3,5,3,3,3,10,2,2,1,9
81412,2722,5,5,6,2,6,7,5,6,6,5,2,2,1,Math 903- Beginning and Intermediate Algebra,1,Algebra currently,[Decline to Answer],2,1,4,2,3,6,2,2,1,1
81415,#N/A,5,5,3,1,5,6,2,5,5,4,5,2,2,Elementary Mathematics,6,[Decline to Answer],[Decline to Answer],2,1,3,2,3,5,3,2,1,7
81418,#N/A,5,4,4,1,2,6,3,5,6,5,4,1,2,Fundamentals of Algebra,1,2008,[Decline to Answer],4,1,3,5,6,11,5,2,1,1
81421,#N/A,5,4,6,1,4,6,2,4,5,4,3,1,2,n/a,"1, 2, 5",Statistice in 2009,n/a,2,3,4,4,4,8,4,2,1,4
81424,2751,5,5,6,3,3,6,3,3,5,5,2,1,2,Pre-Calculus,"1, 2, 3",[Decline to Answer],[Decline to Answer],3,1,5,5,4,12,4,2,1,3
81427,#N/A,5,6,7,2,6,7,4,4,5,6,6,1,2,Algebra,"1, 3, 5, 6",[Decline to Answer],[Decline to Answer],4,2,5,6,6,13,6,2,1,7
81430,#N/A,5,5,6,7,5,5,3,4,5,6,5,5,2,statistics,"1, 2, 3, 4, 5","Statistics, 2017",[Decline to Answer],4,3,3,3,1,4,3,2,1,8
81433,2761,2,5,7,4,4,6,3,6,6,4,6,1,2,statistics,"1, 2, 3, 4, 5","algebra in 2010, geometry in 2011, pre-calculus in 2012, trigonometry in 2013, calculus in 2014, statistics in 2015, pre-calculus in 2015, statistics in 2017",[Decline to Answer],5,2,5,4,5,12,5,2,1,1
81436,#N/A,2,6,5,6,7,5,7,5,7,5,4,6,1,Statistics,"1, 5","algebra in 2017, Statistics in 2018",[Decline to Answer],3,5,3,1,1,4,2,2,1,3
81439,2819,5,4,4,1,5,7,4,5,6,7,4,1,2,Statistics,"1, 2, 3, 5",Statistics 2017,[Decline to Answer],2,3,5,5,5,10,3,2,1,4
81442,2859,4,2,7,1,3,7,7,2,4,6,5,1,2,Algebra,1,2014,[Decline to Answer],4,1,5,3,3,3,4,2,1,3
81445,#N/A,4,6,6,3,2,6,1,2,5,2,4,1,1,Statway,5,Statway in 2018,[Decline to Answer],4,1,3,2,3,6,3,2,1,1
81448,2834,4,6,4,6,7,7,6,4,6,4,4,6,1,Precalculus,"1, 2, 3","Precalc ,??18 , Algebra ,??17-18 , geometry ,??16-,??17",[Decline to Answer],2,1,5,5,5,4,3,2,1,8
81451,2794,5,6,7,2,7,6,7,7,7,6,2,1,1,Analytic Geometry & Calculus 1,"1, 2, 3, 4","Geometry in 2014/2015, Algebra 2/Trig in 2015/2016, Pre-Calculus in 2016-2017, Calculus in 2017-2018",[Decline to Answer],4,1,4,6,5,11,4,2,1,4
81454,#N/A,6,5,2,2,7,1,2,6,7,2,2,4,2,math my way,6,pre-alegbra,[Decline to Answer],1,1,3,7,7,3,2,2,1,3
81457,2774,7,7,7,6,7,5,7,5,7,4,6,7,1,Algebra,1,Algebra 2018,[Decline to Answer],4,5,4,1,2,5,3,2,1,4
81460,#N/A,6,6,7,2,5,7,7,2,6,3,3,1,1,Statistics,5,Statistics 2018,[Decline to Answer],1,2,5,2,3,8,3,2,1,1
81463,2813,6,6,7,7,7,5,6,4,6,3,6,7,1,Linear Algebra,"1, 2, 3, 4, 5, 6","Algebra in 2016, Geometry in 2005, Pre-Calculus/Trigonometry in 2016, Calculus in 2018, Statistics in 2016",Differential Equations in 2018,3,5,5,3,7,1,2,2,1,1
81466,#N/A,3,4,4,3,6,6,4,4,6,4,4,2,2,N/A,"1, 2, 3",[Decline to Answer],[Decline to Answer],3,1,5,5,5,11,3,1,1,7
